Name,ID,Tecs Used by Group,Associated Groups
Rancor,G0075,"['T1071', 'T1059', 'T1105', 'T1566', 'T1053', 'T1218', 'T1204']",
Rocke,G0106,"['T1071', 'T1547', 'T1037', 'T1059', 'T1543', 'T1140', 'T1190', 'T1222', 'T1564', 'T1574', 'T1562', 'T1070', 'T1105', 'T1036', 'T1046', 'T1571', 'T1027', 'T1057', 'T1055', 'T1021', 'T1018', 'T1496', 'T1014', 'T1053', 'T1518', 'T1082', 'T1552', 'T1102']",
RTM,G0048,"['T1547', 'T1189', 'T1574', 'T1566', 'T1219', 'T1204', 'T1102']",
Sandworm Team,G0034,"['T1087', 'T1071', 'T1059', 'T1555', 'T1485', 'T1132', 'T1140', 'T1561', 'T1041', 'T1203', 'T1133', 'T1070', 'T1105', 'T1056', 'T1036', 'T1040', 'T1571', 'T1027', 'T1003', 'T1566', 'T1090', 'T1219', 'T1018', 'T1218', 'T1195', 'T1082', 'T1016', 'T1204', 'T1078', 'T1102']","ELECTRUM, Telebots, IRON VIKING, BlackEnergy (Group), Quedagh, VOODOO BEAR"
Scarlet Mimic,G0029,['T1036'],
Sharpshooter,G0104,"['T1547', 'T1059', 'T1105', 'T1559', 'T1106', 'T1566', 'T1055', 'T1204']",
Silence,G0091,"['T1547', 'T1059', 'T1070', 'T1105', 'T1036', 'T1112', 'T1106', 'T1571', 'T1027', 'T1003', 'T1566', 'T1055', 'T1090', 'T1021', 'T1018', 'T1053', 'T1113', 'T1218', 'T1072', 'T1553', 'T1569', 'T1204', 'T1078', 'T1125']",
SilverTerrier,G0083,['T1071'],
Soft Cell,G0093,"['T1560', 'T1059', 'T1136', 'T1005', 'T1074', 'T1041', 'T1190', 'T1133', 'T1574', 'T1105', 'T1036', 'T1027', 'T1003', 'T1090', 'T1018', 'T1053', 'T1505', 'T1016', 'T1049', 'T1033', 'T1550', 'T1078', 'T1047']",
Sowbug,G0054,"['T1560', 'T1059', 'T1039', 'T1083', 'T1056', 'T1036', 'T1135', 'T1003', 'T1082']",
Stealth Falcon,G0038,"['T1071', 'T1059', 'T1555', 'T1005', 'T1573', 'T1041', 'T1057', 'T1012', 'T1053', 'T1082', 'T1016', 'T1033', 'T1047']",
Stolen Pencil,G0086,"['T1176', 'T1555', 'T1056', 'T1040', 'T1003', 'T1566', 'T1021', 'T1552', 'T1078']",
Strider,G0041,"['T1564', 'T1556', 'T1090']",ProjectSauron
Suckfly,G0039,"['T1059', 'T1046', 'T1003', 'T1553', 'T1078']",
TA459,G0062,"['T1059', 'T1203', 'T1566', 'T1204']",
TA505,G0092,"['T1087', 'T1071', 'T1059', 'T1555', 'T1486', 'T1568', 'T1105', 'T1559', 'T1027', 'T1069', 'T1566', 'T1055', 'T1218', 'T1553', 'T1552', 'T1204', 'T1078']",Hive0065
Taidoor,G0015,[],
TEMP.Veles,G0088,"['T1583', 'T1059', 'T1074', 'T1546', 'T1133', 'T1070', 'T1036', 'T1571', 'T1027', 'T1003', 'T1021', 'T1053', 'T1505', 'T1078']",XENOTIME
The White Company,G0089,"['T1203', 'T1070', 'T1027', 'T1566', 'T1518', 'T1124', 'T1204']",
Threat Group-1314,G0028,"['T1059', 'T1021', 'T1072', 'T1078']",TG-1314
Threat Group-3390,G0027,"['T1548', 'T1087', 'T1071', 'T1560', 'T1119', 'T1547', 'T1059', 'T1543', 'T1005', 'T1074', 'T1030', 'T1140', 'T1189', 'T1203', 'T1068', 'T1210', 'T1133', 'T1574', 'T1562', 'T1070', 'T1105', 'T1056', 'T1112', 'T1046', 'T1027', 'T1003', 'T1055', 'T1012', 'T1021', 'T1018', 'T1053', 'T1505', 'T1016', 'T1049', 'T1078', 'T1047']","TG-3390, Emissary Panda, BRONZE UNION, APT27, Iron Tiger, LuckyMouse"
Thrip,G0076,"['T1059', 'T1048', 'T1219']",
Tropic Trooper,G0081,"['T1071', 'T1119', 'T1020', 'T1547', 'T1059', 'T1543', 'T1132', 'T1140', 'T1573', 'T1052', 'T1203', 'T1083', 'T1564', 'T1574', 'T1070', 'T1105', 'T1036', 'T1106', 'T1046', 'T1135', 'T1027', 'T1566', 'T1057', 'T1055', 'T1091', 'T1505', 'T1518', 'T1082', 'T1016', 'T1049', 'T1033', 'T1221', 'T1204', 'T1078']","Pirate Panda, KeyBoy"
Turla,G0010,"['T1134', 'T1087', 'T1071', 'T1560', 'T1547', 'T1110', 'T1059', 'T1584', 'T1555', 'T1213', 'T1005', 'T1025', 'T1140', 'T1587', 'T1189', 'T1546', 'T1567', 'T1083', 'T1562', 'T1105', 'T1570', 'T1112', 'T1106', 'T1027', 'T1588', 'T1201', 'T1120', 'T1069', 'T1566', 'T1057', 'T1055', 'T1090', 'T1012', 'T1021', 'T1018', 'T1518', 'T1082', 'T1016', 'T1049', 'T1007', 'T1124', 'T1204', 'T1102']","Waterbug, WhiteBear, VENOMOUS BEAR, Snake, Krypton"
Whitefly,G0107,"['T1059', 'T1068', 'T1574', 'T1105', 'T1036', 'T1027', 'T1003', 'T1204']",
Windshift,G0112,"['T1189', 'T1036', 'T1566', 'T1204']",Bahamut
Winnti Group,G0044,"['T1057', 'T1014', 'T1553']",Blackfly
WIRTE,G0090,"['T1071', 'T1059', 'T1140', 'T1105', 'T1218']",
Wizard Spider,G0102,"['T1087', 'T1071', 'T1547', 'T1059', 'T1543', 'T1074', 'T1482', 'T1048', 'T1041', 'T1210', 'T1133', 'T1222', 'T1562', 'T1070', 'T1570', 'T1557', 'T1036', 'T1112', 'T1135', 'T1027', 'T1588', 'T1003', 'T1069', 'T1566', 'T1055', 'T1021', 'T1018', 'T1053', 'T1489', 'T1518', 'T1558', 'T1553', 'T1082', 'T1016', 'T1033', 'T1569', 'T1204', 'T1078', 'T1047']","UNC1878, TEMP.MixMaster, Grim Spider"
